jobs_type,title,jobs_text,URLs
data, Competitor Price Scrape ,"""Hi,  
 
I need a price scrape on one of our competitors sites. Its on 33k product sku's I have the data in a google sheets and its from one website, which i will share at point of contact, looking to get this data in the next 2-5 days. see attached data i have for products being scrape. 
 
The only data i need from the competitor site, is price.""",https://www.upwork.com/jobs/Competitor-Price-Scrape_~019434f9ff739b85f3?source=rss
tools, Scrape Property Website for Data and Build Dashboard  ,"""I would like to scrape a property website for all data including picture, price, address, number of rooms and all data in between. 
 
This data needs to be extracted to a CSV file as well as a database of your choosing. 
 
Once data is collected, I would like to see the data visualised in a dashboard.  
 
Bonus(not necessary), if we can set up a pipeline so that data can be scraped and pulled every week. The dashboard will be automatically updated every week. 
 
This has to be done in Python, and dashboarding tool of your choice.""",https://www.upwork.com/jobs/Scrape-Property-Website-for-Data-and-Build-Dashboard_~01abc5336214d5fb6f?source=rss
leads, Web scraper required for Canadian real estate ,"""We are looking to generate leads on the Canadian real estate market. As part of the lead generation process, we are looking to scrape recent sales data from a website. Information that we will require will include, but is not limited to:  
 
- Address 
- Most recent transaction date 
- Transaction sales price 
- Current estimated home value 
 
For this specific site, the complexities include: 
 
- You need to be logged in to the site 
- You need to navigate to the page by inputting the address 
- You need to capture data from specific sections on the site 
 
We are looking for someone who has worked with and/or created various web scraping tools to generate this data, and are familiar with processes for deduplicating and cleansing lead lists.""",https://www.upwork.com/jobs/Web-scraper-required-for-Canadian-real-estate_~01fbb0f22c0c9ac01e?source=rss
tools, Data Scraping Tool for my MLS Services- Real Estate   ,"""I'm looking for a simple spreadsheet build that can scrape data from my MLS service providers at the push of a button. I need a system built that will log into all markets, pull the listings into excel, based on equity available. It will find the listing price of a new listing and pull in Zillow Data, Redfin Data, and Realtor.com data and average those to create an estimated home value. Then I can have the daily listings specific to my business model compared to the average ARV (after repair value) I'm trying to get the new listings bubbled up to the top so that we don’t have to do it manually and i'll be able to pick the top 10-20 listings in each market that are listed daily. This is for my home flipping business. I'm looking for the cheaper distressed homes and list price VS the average of the big 3 sites named above could be a great indicator of a great equity position. This may be able to be done without using my MLS and just using Zillow in each city for newly listed properties. I’m not great with this kind of stuff so looking to bounce ideas off of someone that well versed in this type of work. I work in DFW, Houston, Waco, and Birmingham, AL. Thanks!""",https://www.upwork.com/jobs/Data-Scraping-Tool-for-MLS-Services-Real-Estate_~01a9b9245048ad1abf?source=rss
data, Web scraping Project  - Property Data extraction  ,"""Good afternoon, I am in need of a scraper built to pull property data from a county website. I need to be able to input property addresses into a column in Excel and have the scraper pull data from the webpage which shows details for that property. I need the scraper to be able to pull at least 500 -1000 addresses at a time and provide a quick return of data.   
 
Please let me know your availability and/cost to help with this project. 
""",https://www.upwork.com/jobs/Web-scraping-Project-Property-Data-extraction_~0190307b84a5622f68?source=rss
tools," Web Scraping, Structured Data Output, and Maintenance - Real Estate Sites ","""We need daily scraping of a real estate site that includes: 
-around 10 property data points  
- five property images.  
 
The last pull we did included 50k-100k properties to give you a sense of scope.  
 
We need these data points to be in a JSON file that is uploaded to our S3. A part of this scope is maintenance and management of the scraper considering real estate sites tweak their structures about 5-7x per month. 
""",https://www.upwork.com/jobs/Web-Scraping-Structured-Data-Output-and-Maintenance-Real-Estate-Sites_~015daf0ea1fb442435?source=rss
tools, Data Scraping Tool for my MLS Services- Real Estate   ,"""I'm looking for a simple spreadsheet build that can scrape data from my MLS service providers at the push of a button. I need a system built that will log into all markets, pull the listings into excel, based on equity available. It will find the listing price of a new listing and pull in Zillow Data, Redfin Data, and Realtor.com data and average those to create an estimated home value. Then I can have the daily listings specific to my business model compared to the average ARV (after repair value) I'm trying to get the new listings bubbled up to the top so that we don’t have to do it manually and i'll be able to pick the top 10-20 listings in each market that are listed daily. This is for my home flipping business. I'm looking for the cheaper distressed homes and list price VS the average of the big 3 sites named above could be a great indicator of a great equity position. This may be able to be done without using my MLS and just using Zillow in each city for newly listed properties. I’m not great with this kind of stuff so looking to bounce ideas off of someone that well versed in this type of work. I work in DFW, Houston, Waco, and Birmingham, AL. Thanks!""",https://www.upwork.com/jobs/Data-Scraping-Tool-for-MLS-Services-Real-Estate_~01a9b9245048ad1abf?source=rss
data, Scarp all the address on an interactive map ,"""This is the link I want data from 
 
 
This is an interactive map of Macau. 
 
In this map, you will find a lot of buildings. 
 
And for each building, this is the info that I want. 
 
I will use the building 新葡京 | GRAND LISBOA as an example, you can put this into the search bar on the top of the screen. 
 
Data I want 
Chinese Building Name: 新葡京 
English Building Name: (if any) 
Portuguese Building Name:  GRAND LISBOA (if any) 
 
Chinese Street Address (There might be multiple entries) : 商業學校街, 殷皇子大馬路, 葡京路  
English Street Address: (if any) 
Portugese Street Address (There might be multiple entries): Rua da Escola Comercial, Avenida do Infante D. Henrique, Avenida de Lisboa   
 
Chinese Parish: 大堂區 
Portuguese Parish: Sé 
English Parish: (if any) 
 
Chinese Statistical District: 中區 
Portuguese Statistical District: Baixa de Macau 
English Statistical District: (if any) 
 
 
I would prefer the output to be in .xml or .csv""",https://www.upwork.com/jobs/Scarp-all-the-address-interactive-map_~012919c6b62c6522eb?source=rss
data, Web Scraping- Scrape data from zillo ,"""I need someone for data scrape from Zillo. I need property name, price, location, phone etc.""",https://www.upwork.com/jobs/Web-Scraping-Scrape-data-from-zillo_~018b373e5a867ec171?source=rss
tools, Web Scrapping Real Estate websites ,"""1) Web Scrap the 3 realestate websites below: 
 
Technical aim is to: 
A) Produce report on a full list of listings for each section of Buy + SOLD 
B) On a daily basis produce report on a list for each of new, updated, deleted for Buy + SOLD 
The business goal is to monitor the movement of the listings from being listed to sold, our end user can see the full list""",https://www.upwork.com/jobs/Web-Scrapping-Real-Estate-websites_~01d621ee8805bf8615?source=rss
